Prueba,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990
Prueba 1,300,800,1700,2000,3500,4200,5300,6400,8600,9800,12200,14100,16300,19100,21700,24600,27700,29900,34100,38200,42000,45600,49700,84100,59200,64000,67400,80200,84900,84400,94100,128000,101100,108300,120600,161800,136600,144600,150000,159500,167700,163800,173500,180400,186500,206300,204900,212600,248300,257100,244000,268400,260800,272700,456500,307500,302400,351700,619900,477000,343600,463200,374900,419500,390100,401000,430700,486100,439600,534900,474100,475700,489600,501400,572400,606900,623100,587600,654500,711300,670100,742100,647500,734900,753400,769900,791700,809100,843700,739900,782200,887600,793500,808700,969800,912900,1008600,1033200,1128100
Prueba 2,400,800,1600,1800,3000,4400,5000,6700,8800,9800,11600,15400,17300,19200,21600,26300,27500,30300,34600,37900,41800,45300,49600,56400,59600,85700,68600,79000,84800,84400,94800,129100,102800,107800,119600,132200,137300,144300,149400,157100,167000,163000,170900,180600,186600,203600,306500,212000,246300,259100,242700,269400,259400,269200,418200,397600,415800,352300,403800,471200,345000,393100,374200,434000,388700,400200,424100,470900,439000,527500,474400,479600,489700,504300,571800,587600,617200,582100,651000,687700,639400,743200,648800,713200,755100,770800,788200,808600,850400,744700,774200,883300,824500,1089900,968300,934800,988000,1030900,1010700
Prueba 3,300,800,1700,1800,3100,4600,5200,6700,21300,10300,11800,14000,16500,18900,22700,24600,27600,30500,34600,37500,42200,45200,51100,54900,58400,63600,68200,85600,84600,83900,94400,98000,102800,111600,119100,131000,136000,145700,148000,156200,164600,162800,171200,179400,186900,206200,205400,213700,248800,255700,242100,278500,260300,274400,387900,457400,299500,355400,320500,508900,408800,397800,407700,447900,390000,402200,432700,483700,662300,500300,487600,477200,491300,551800,611900,605900,619300,586600,651700,690700,617100,750000,670000,716200,756100,775200,790100,810400,820900,742600,797000,879700,1267100,1049700,966400,911800,982600,1030700,1017400
Prueba 4,300,900,1500,1900,3200,4300,5300,6500,8000,9800,11800,14700,16800,19600,22200,24400,27600,29800,35000,37900,41800,47200,49700,56400,59500,63700,69600,80200,111500,84200,135200,97700,100900,110600,120700,131300,136800,139900,148100,155700,164900,164300,172400,180000,229700,206000,205500,212300,256600,256000,240700,277600,274400,270800,533400,372400,301200,362800,340400,377300,343100,383000,374700,448100,386600,399600,437900,474700,517200,514600,484200,474100,488700,502600,634000,619000,587600,589000,649500,684800,615600,719800,646700,738200,753200,770000,792000,808100,827000,740900,796100,885400,807400,904000,991500,881700,982400,1002000,1021600
Prueba 5,300,13900,2000,1800,3100,4400,5000,6500,8100,9800,11900,14100,16200,20700,21900,25000,27700,30500,34200,37800,41800,45700,49400,56800,58700,63500,69500,82300,82800,84500,96200,95500,101300,123500,119500,136400,147400,142900,148100,156600,167000,164800,170400,181400,189000,205400,204600,213200,248600,266300,239500,268900,273500,333900,378900,289400,299400,364200,319300,400700,342300,377800,384900,441700,390800,401500,423000,470900,437200,516000,488100,476100,489700,513900,589400,602700,599800,587700,663400,687600,618100,702000,681700,716300,752600,773400,840100,857100,827400,848400,820800,881800,825900,841200,966100,885000,983100,1002700,1049400
Prueba 6,300,800,1800,2000,3300,4300,5200,6700,8100,10200,12300,13800,16600,19000,23200,24200,28300,48100,34100,38500,43200,45900,51300,54100,58500,63600,68600,83000,140600,83900,95700,96400,102500,108700,119500,141400,134000,227800,148700,159100,168300,165500,170500,179000,187200,205700,203300,310000,247100,250800,240300,268200,276100,302000,876000,290200,301600,342100,327800,389400,343000,352700,389800,440100,537900,399900,425000,470800,657100,517900,486800,477600,485800,503600,612500,588200,619400,584900,654300,687500,623100,723100,647600,716800,780100,771300,811700,809000,823300,739900,817400,936500,834500,809700,992900,926100,1014200,1029600,1054800
Prueba 7,200,900,1700,2100,3000,6100,5200,6500,8300,9900,11800,14300,16300,18900,22500,24300,27300,31500,34500,38200,42200,46100,50300,54100,58900,64600,68500,80000,141400,83800,93900,143600,102600,107300,121100,127400,132800,143500,148900,154700,167500,164200,170400,246600,220500,204600,204900,298600,247600,251000,242400,269100,272500,269600,549100,288500,300600,343900,328100,377400,342500,354500,446700,445900,394100,448300,421200,485000,436200,531700,488300,476300,758800,529700,586400,601400,618600,585100,660600,685600,1034000,720600,656700,715900,778000,773700,795200,808800,827200,742700,829300,887100,856100,807300,972500,889000,1005200,1031500,1022100
Prueba 8,300,900,1400,2000,3400,4500,5500,6600,8100,11300,11900,14300,16700,19400,21900,24500,28200,30600,34300,76000,42900,46500,86500,54100,59200,64500,68000,78000,93200,106300,93700,95500,102200,107000,119300,126600,132400,140800,148800,189300,190000,165400,170000,178100,187400,230200,205200,215000,246400,249100,240600,270300,271700,270200,420200,289700,336000,343200,322700,390200,360200,354900,540500,440400,431300,402200,462200,472000,436700,542300,492000,478200,492100,501000,587000,604800,615600,588400,651800,699300,655300,721000,662600,736300,789300,775400,788000,809400,826400,740900,818800,882400,855400,807500,967800,932100,984200,1033800,1074000
Prueba 9,300,900,1200,2000,3100,4600,5000,6700,8300,10000,12100,15600,16200,18600,23100,24400,27200,30200,34300,37700,41700,46600,51000,55000,59400,62800,68100,79500,103800,85700,93700,96000,101200,108200,120800,130000,133800,140400,154000,161200,190100,162700,170500,178900,188300,281000,206200,320600,247300,280900,239500,270500,272900,268000,403100,290700,581100,343000,320800,389300,359600,353400,367800,415800,391100,402700,443200,482700,438300,526200,493400,478600,517800,515700,590600,603300,619000,585900,652200,692400,660900,726400,649100,716300,775200,773500,788200,807500,825700,740700,821900,895400,894800,975100,971500,887100,984100,1003600,1049200
Prueba 10,300,800,1100,2200,3200,4500,5300,6700,8300,10100,11800,14200,16400,19000,21800,24200,80500,30000,34100,37600,42100,45300,49300,53800,58400,64000,68300,78800,137900,107000,93800,97200,101100,109000,119200,129700,136000,142100,154700,156900,211600,162000,274100,179500,240600,204300,203900,212900,244200,292500,241200,268600,272800,268900,388400,294600,412100,343400,329000,380600,352300,356300,591500,429800,445100,442400,441200,473100,438700,527900,487100,477700,502200,504300,593300,601900,619200,610700,651600,684600,632400,719400,648200,720100,774800,772500,797000,804700,826200,785200,823200,903200,908600,1325000,967500,922800,982100,1004100,1051200
Prueba 11,300,1000,1100,2200,3100,4500,5100,6400,8300,9900,13400,14100,16300,18700,21400,25000,43500,30100,34200,37900,41600,46500,49400,53900,58500,63600,67600,85900,156300,86600,94800,97500,102500,111700,219800,128600,134000,139600,148900,155500,169600,164000,266800,178600,188600,206800,204300,211800,246800,248600,241800,270500,271100,269700,439800,296400,300800,348000,327500,377400,372400,352400,385100,431800,394800,401000,433100,470000,467900,507500,489900,473700,765000,502300,587700,602600,621300,590000,651400,696100,631000,727000,655900,715400,805100,772800,791800,810800,846800,742300,819300,883300,901100,807800,970100,885400,1015200,998800,1012300
