Prueba,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990
Prueba 1,1100,1600,2900,3200,4000,4800,4900,5600,6600,7100,7900,8700,9500,10700,11300,12000,12900,13500,14400,15700,16300,18100,19200,18900,19400,20500,22000,25500,38200,24800,26800,41300,27400,27800,30500,34500,33900,34000,34600,35800,36900,35800,36400,37500,38500,43300,46900,40400,47200,47800,43200,49600,46400,47500,67400,50500,50300,58300,68600,80200,54000,78300,57200,62200,57700,59700,60700,68600,62200,74100,67400,65900,65700,68100,75900,75400,80200,72600,80900,90200,91200,90700,79400,87000,89900,89400,90600,92200,95500,83600,84400,96400,101400,86700,102700,93800,115600,106100,108400
Prueba 2,900,1600,2700,2800,3800,4600,4800,5400,6800,7100,8000,8600,9300,10400,11100,11900,12700,14600,13900,15600,17500,18600,17800,18700,19500,22900,21400,26100,53400,25000,27000,43700,27500,28000,31500,32800,34700,33800,34000,35400,37500,35300,36200,37000,38400,41200,40200,54900,46900,47100,44400,49600,46400,46900,50600,111700,52400,57700,51700,71600,54100,55300,56600,65600,57400,58900,63000,81700,63500,73800,67800,65700,154500,66300,76800,75700,78400,75600,81400,89000,76100,90900,79300,86500,90000,90200,90700,92800,95800,82300,88700,99600,85800,88900,104000,97200,102000,106100,106200
Prueba 3,700,1700,2400,2800,3800,4700,4700,5500,6300,7100,7500,8300,9300,10200,11000,11600,12800,13200,14500,15400,16100,17000,18300,20000,19200,20700,22100,26700,37900,24600,26300,28600,27300,28900,30900,33300,33100,34300,34400,35500,39300,35600,36600,37100,40900,41200,39900,41200,47300,46600,43300,50000,50600,46400,53900,50100,50300,59700,52300,61500,53600,76700,57000,67700,58900,58600,64400,69400,103300,71600,67000,65800,66200,66700,105400,76900,79100,74500,82700,86300,76000,88400,78600,87700,88600,89700,91800,92100,92400,82200,87500,96000,87300,87100,103000,96100,103800,102800,105500
Prueba 4,700,1500,2700,2600,3700,4500,4800,5500,6300,7000,7500,8400,10400,10300,10800,12000,12800,13300,14300,15300,16000,17300,18600,18900,19300,54000,21400,23600,24400,24400,26600,25800,26700,29300,30600,32200,34300,33200,34000,35300,36800,35400,36600,37400,55100,41400,41200,44400,50600,47100,43000,49500,49300,47100,60700,49400,49900,57700,52000,60500,55300,55200,59000,68100,104100,65200,61600,68000,63000,72900,67000,65200,65500,66300,77500,79300,76400,73400,82200,85100,76000,87700,77500,84500,88500,90100,92600,92400,92800,83700,101400,97100,149800,120900,104000,93100,102100,103500,105500
Prueba 5,600,1400,2600,2600,3700,5700,4700,5200,6200,6700,7700,8400,9400,10300,10800,11800,12800,13400,15400,16600,16000,17000,18000,18600,19400,20200,21400,25200,25100,24500,27000,25500,27000,27900,30400,32100,32100,33100,33800,34900,37200,35500,36200,37400,38000,41100,40500,75400,46500,45800,44600,48100,48700,47000,71200,48400,50100,57100,54400,62600,53800,55100,59200,69500,57700,58600,62500,69000,61600,72200,66700,65800,66000,67300,92000,78000,79800,73900,81600,88200,75900,89800,77600,84600,93000,90200,95000,91900,93100,83200,89600,98300,177400,90500,103500,93300,107800,108800,107200
Prueba 6,600,1500,2500,16000,3700,4400,4500,5400,6400,6700,7500,8400,9300,10100,11100,11700,12800,13300,14100,15200,17100,16700,18100,18900,20600,20800,21800,24000,38700,24600,26200,25900,27200,27900,30800,31600,34100,33600,34200,35200,37100,36600,36200,37300,38600,40900,39700,105000,47700,47500,43300,48400,48600,46800,64600,50000,50500,55700,52800,60600,53900,58500,56700,65600,117100,58700,61700,67400,63700,75800,67200,65100,66800,68200,77300,77200,79600,73800,81400,84700,112900,88300,75900,85400,91400,90100,102700,91900,93300,82300,88100,111700,95000,102100,104300,93200,105100,106800,108400
Prueba 7,600,14600,2200,2700,3500,5900,4600,5200,6200,6900,7700,8400,9100,10200,10900,12000,12500,13300,14100,18600,15800,16600,17800,18900,38000,20700,21600,23700,26200,24400,27000,26300,27300,28600,30200,31400,32200,35000,34300,35600,37300,35000,36000,37000,37700,41000,40000,42400,45900,45200,43200,48400,48400,46700,63200,48900,74500,56200,53800,62200,58200,55000,90000,65600,57600,60100,61300,68100,62400,75500,68600,67200,67300,104300,78500,79400,78900,74700,81900,82400,89500,91200,111200,85600,91700,89700,90300,92400,92500,82100,91500,96800,92800,88200,106600,94400,106700,107300,103900
Prueba 8,700,1500,2400,2800,3400,4500,4500,5400,5900,7000,7400,8300,9100,11300,11000,11700,12700,13400,14100,16300,16200,16600,17800,19000,19700,20500,22800,24100,26600,24700,26900,25700,28500,28200,30100,32500,33500,32800,35400,35500,41100,35800,36300,36800,37500,46400,40600,40900,45900,46600,44000,48900,48700,46900,85100,48800,150300,56100,51800,58200,57000,55400,56100,65600,74100,58300,63300,68100,62200,75400,67200,65400,100000,70800,76600,77500,77700,75900,81900,86700,82800,87800,78700,85000,105600,89600,91400,93400,93200,82700,93600,97200,98600,87300,103300,92600,102100,104900,107500
Prueba 9,1100,1600,2600,2800,3500,4400,4500,5400,6200,7000,7600,8400,9300,10400,11100,11900,12700,13100,14500,15500,17200,17000,17400,18800,19500,21900,21800,24400,29500,24400,27900,26300,27200,27800,30500,32600,32200,33000,34600,37500,66000,35400,36100,36900,57100,42000,39700,60700,46300,72900,43200,47900,47800,46900,69300,64500,50600,56400,54900,61100,55300,55100,90100,76300,61600,59200,112900,67900,62700,75400,67200,65100,65800,67300,76600,78900,80200,70800,82000,86700,79700,88600,77800,86600,95800,89600,90400,91900,92000,140600,89700,99000,96200,87600,104600,94000,103200,104200,108200
