Prueba,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990
Prueba 1,500,1200,2100,2800,4800,6100,7300,9200,11600,13100,15500,18200,20600,24200,27600,30100,34400,37000,43300,46500,50800,108200,59900,65900,71600,74900,81700,91600,141200,100500,111500,155600,119300,127100,139300,162700,160200,168200,171000,181300,194000,188700,195800,206600,216400,238800,232600,242900,280400,291900,272100,305000,293900,302500,448700,386100,337400,397700,605100,511900,459400,589900,419900,468100,436200,449600,463800,546900,557600,591800,561300,531800,549600,562400,638800,655400,690500,662900,725000,789400,792100,828500,717400,819800,836900,853500,876200,895400,943600,822000,840400,976100,895300,930400,1073300,1006100,1116500,1138100,1162500
Prueba 2,400,1100,2200,3000,4800,6600,6900,8900,11700,14400,15700,18200,21100,24100,27500,31000,34500,37000,42000,46500,50600,55900,60300,65500,69900,112600,81200,89600,99300,100300,112400,205100,117600,127000,139500,148300,158300,168100,173200,178500,194500,188700,195000,205400,214900,236200,337900,299000,281100,290900,270500,321700,293500,305700,382800,531400,449300,398400,361600,482600,386700,467200,420700,498100,434700,450800,486900,529000,489700,589200,548900,532800,681100,562300,658600,657600,695300,672400,725600,770600,766700,825600,734500,796000,837300,855100,877500,896500,943400,824800,872000,992600,877700,1048300,1071500,1006400,1087100,1138800,1128700
Prueba 3,500,1200,15800,2900,4800,6100,7300,9400,11000,13400,15700,18400,21100,23900,26800,30600,34700,37000,42600,46200,50600,54900,60200,64700,70000,76700,81100,97000,113600,100000,111600,114400,118500,128500,140300,149300,161000,167400,172600,179800,187400,190100,195200,206000,233000,233900,233400,243400,295800,290900,272600,314400,319500,304500,405600,483500,337900,418000,362700,427700,387300,417300,419500,500400,438500,494100,483600,542100,717600,579100,544100,531700,546900,561600,698100,674500,691700,652800,726600,771900,685500,837900,718700,811600,837500,857100,919600,898200,915500,821600,884900,977800,877100,897000,1071500,1004800,1082000,1106700,1129800
Prueba 4,500,1200,2400,2900,4600,6600,7300,8900,10800,12900,15900,18400,21000,24900,26800,30600,34400,37400,42000,46100,52200,55400,59500,65600,70200,74800,80800,95100,100500,99500,110700,111900,119700,128100,138900,152200,159200,164400,170800,180000,188600,188900,197400,205000,365500,235900,232500,282300,288800,290300,273700,314800,309300,305300,497700,443100,338800,413000,361600,427600,386100,397200,444200,500600,613800,450100,507600,528500,571200,572700,545700,525400,546500,561000,703500,691200,676300,653400,758600,765700,724800,802800,719300,796300,835800,856300,877500,896900,917200,822500,883700,976800,1164500,931800,1072100,980800,1085000,1112700,1128300
Prueba 5,400,1100,2200,3000,4500,7000,7200,9000,11300,13100,15800,18200,21000,24400,27400,30500,35400,37600,42200,45800,51000,54700,60300,64600,71200,76100,81000,91300,99100,99900,111000,113000,119600,126400,139600,150000,156000,162100,171800,180600,195200,188600,196800,206500,213100,235300,233700,427200,280200,283000,271900,306000,349300,307900,442300,327000,412600,387400,371000,437400,385800,410800,434800,497600,437000,451400,472900,526600,490200,573400,544400,582000,546900,579100,658400,673700,692300,650500,726500,800200,690300,812200,722000,797800,837400,857900,925700,914200,915700,822800,904600,994500,1018700,896300,1071900,983600,1130200,1165000,1196100
Prueba 6,500,14700,2300,3000,4700,6300,7000,10100,11000,13200,15600,18500,21200,24400,27500,30800,34300,116000,41400,46300,108800,55500,60100,66300,69800,74900,82200,91400,127900,100400,110200,110200,118700,125600,140200,148500,154900,213500,173300,179400,194400,186600,197800,207200,215500,235500,233700,401800,278700,282300,273000,304000,309300,306800,504500,327000,339400,387900,370800,448600,385800,399200,420700,495500,592300,449800,474400,529200,563200,594400,544700,566700,546800,580700,656500,679100,689700,652300,728000,763700,846300,803200,731100,795700,881400,856100,926900,896600,913800,821600,897400,1006700,976000,910900,1070600,1081700,1115500,1140300,1162400
Prueba 7,700,1300,2200,3200,7100,8000,7100,9000,11000,13400,15300,18200,21100,24100,27600,30600,33900,36800,41900,45800,50800,56300,59900,65000,69000,74800,82300,92800,126900,99800,110100,144100,119100,125700,139600,146800,155400,161500,170400,180200,197600,187700,197500,257900,215800,235600,232500,293200,284100,283900,273900,305300,309300,305300,495300,364700,331500,387500,378500,424800,399000,398100,673400,499400,472400,449400,473000,548500,490400,608400,545000,541400,610100,671400,657500,671400,690600,654500,726800,742300,875000,807600,780000,797700,865100,855900,874200,896800,915200,820600,942000,979100,944800,1242900,1072300,985300,1116800,1140700,1129300
Prueba 8,400,1200,2000,3200,4700,6100,7100,9100,10900,12900,15500,18000,22200,23800,27400,30800,33900,36900,42100,61500,50800,55800,73300,65300,69600,76600,81500,92700,104400,119600,111000,111000,117600,127400,140300,163900,154900,163800,190200,181000,209600,187500,243900,205200,214400,338300,234200,242800,280500,283500,272000,305700,308300,303200,509700,326700,445700,387900,362300,413100,405500,398200,569000,496000,604000,450100,554600,529700,492000,592100,547000,533400,652000,559500,655100,673700,692300,654000,725600,765300,745800,805000,719500,833200,888100,856700,875800,892900,916000,819500,944900,981400,1009400,893700,1071800,980200,1086400,1149100,1180600
Prueba 9,400,1200,2100,16500,4600,6200,6900,9000,10800,13200,15600,18000,20900,24000,27400,30400,34400,38000,42100,47100,51100,54800,59700,65900,71300,75800,81300,94900,102300,99200,111300,113500,119900,124700,138800,150200,155900,164000,176100,178400,199900,185600,196600,206100,214400,344300,233900,359700,280100,286000,272700,307000,308200,304800,393700,412600,582400,387500,378700,426100,543800,399300,555500,469500,527400,449300,619400,545400,490700,588800,548700,531600,548200,586900,657400,673600,691200,642600,725700,765700,703100,804100,722100,795700,883900,855700,877200,895700,916300,823900,907000,1007000,973800,996400,1069900,982000,1083300,1111000,1161300
