Prueba,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990
Prueba 1,500,1000,1500,2000,2900,3500,3600,4300,5400,6400,6900,7300,10000,10600,10100,11700,12300,12000,13400,16300,16000,29900,16800,17700,18200,21000,23600,23800,25600,22600,25400,71500,26400,27800,29600,48200,33400,33700,39000,37000,38100,37000,38500,37600,41900,41500,40500,41000,46600,47900,42900,52200,48400,47300,74700,70100,53300,59900,54900,73900,57100,80800,59000,77000,63100,98900,62500,71100,64600,79600,68400,69000,67100,69900,77500,80000,98400,79000,90100,97600,84900,96500,81600,93300,93700,96500,95000,99300,98300,90100,86900,103300,93600,91200,106800,112000,104600,111200,112400
Prueba 2,400,14300,1500,2000,2800,3400,3900,5000,5400,6200,6700,7500,9100,9200,10600,11800,12800,12700,13600,14700,15600,16000,17800,18900,18700,54400,21200,23400,60400,23700,25500,32000,26200,28600,29400,31700,32600,33100,36500,36800,37700,35400,37700,37300,41600,42400,40100,42300,47500,49800,43100,55100,47400,49100,87500,78700,50200,62400,55400,66300,57400,55100,59300,78700,60700,61800,67000,72100,65200,76400,72000,68600,82700,69200,84300,84600,100400,95200,90700,93800,81800,94500,83400,89600,93000,91300,96400,98200,101200,91400,94900,109400,92900,90000,108900,107100,108700,111000,109800
Prueba 3,400,1000,1500,2000,3100,3100,4100,4600,7900,6200,6600,7300,9200,9400,10200,12000,11900,12200,12400,15700,15600,16300,16700,17900,19100,21100,21100,24300,25400,23200,25100,30100,28400,27900,30000,31100,32900,31600,36600,36600,36900,36500,35400,37900,43500,40600,40700,42500,46500,47900,46000,55100,50000,48700,59300,52600,51800,62200,54300,60000,55200,59200,59800,78800,62200,64000,67900,69500,78500,75300,70000,67500,68100,70000,78100,93700,108600,83000,89300,91600,82400,95000,82400,94500,95200,92800,93400,98200,98500,92500,93800,105300,91000,93200,107200,107600,109600,111200,112300
Prueba 4,400,1000,1500,1900,3000,3300,3900,4900,5600,6100,6800,7200,10000,9300,10100,11700,11400,14000,13500,15500,15500,15700,17100,18000,18900,23500,20700,23400,25000,23000,25200,28900,27800,29300,28800,31700,32400,33600,36900,37300,74100,35800,35100,37500,40100,41500,40300,42500,48300,48800,43100,69000,49900,49700,70800,52000,53400,63700,52600,61100,55600,57000,61200,75300,143200,75300,64600,71200,67500,75700,72800,68600,66900,70100,78700,83400,95500,84100,89400,93500,79800,93100,84400,91700,95100,92600,93700,116000,98500,91900,98400,106200,110100,177700,106300,102600,106300,109600,106300
Prueba 5,500,800,2000,1900,2800,3400,3400,4600,5400,6400,6500,7200,9900,9600,10300,11300,11500,12900,13300,15000,14800,14600,16500,18700,17700,21400,21500,23100,24500,23300,26500,29400,26800,27800,29200,34100,31200,34600,35400,36600,38100,35000,35500,36800,39300,40500,39800,66200,47200,47300,44100,53800,53200,76100,108600,53300,50600,59500,53400,63800,58000,55600,59300,77700,61700,61900,62000,68800,65800,75800,72000,67400,69900,67800,81000,81200,98400,83900,87800,96200,80200,94100,82200,90200,95500,94000,96500,94000,99700,91100,98500,107900,97600,89800,108600,102700,115700,126100,113000
Prueba 6,400,1100,1900,2100,2700,3300,3900,4800,4800,6400,6600,7400,9000,9600,9500,11700,11900,12300,13800,15000,28800,15100,17300,18500,18100,20800,20200,22900,24300,23400,25600,26900,27300,27900,30600,31400,30900,32200,36900,38300,37100,34900,37600,37900,40000,40100,39400,77800,46300,47300,46500,52100,47600,49000,59200,49800,50500,59300,55200,61100,55800,74000,58700,79400,79600,63100,65100,72700,64900,80400,70700,84700,68500,70700,82000,82700,96400,81000,90900,95000,175400,95500,80100,90200,99300,94600,92300,101700,99500,93200,93300,100700,102400,89800,107900,104900,112800,111600,113400
Prueba 7,500,900,1400,2300,2800,4500,3600,4700,5200,6000,6200,7200,10200,9300,9900,11000,11700,12300,13700,14600,14800,15600,16800,17100,30500,20100,21100,22700,24800,23400,25500,27800,26800,28300,32600,31300,32200,32000,38200,37000,39500,35300,35600,36900,39400,42800,40300,43500,47100,47400,42800,53000,49400,48700,86400,50700,53300,62600,53300,59700,57800,55900,87000,79200,63100,61300,64300,70400,65800,75600,70100,105300,66500,73300,76600,82800,96900,82100,90200,91800,119900,94400,84000,105500,94900,93600,97100,99000,99100,90500,97000,103300,101600,90600,105700,102800,111900,109700,108100
Prueba 8,500,900,1400,15500,2800,3400,3700,4700,5600,6100,7100,7100,8900,8900,9800,12100,11600,11800,13700,14900,14700,15900,16800,18300,17300,21100,22100,26000,25900,23900,26400,27900,26800,27800,30200,31300,31900,32400,38300,36300,38900,36900,35800,37200,41400,41300,38800,42200,46200,45500,44700,51200,51100,49600,65400,52300,93300,59200,54200,62300,60200,55400,57100,78700,80500,63000,65800,73300,63700,76700,70400,69100,68800,123800,80500,82100,106200,81700,88900,93400,99500,93700,83400,90900,98400,94300,97400,97900,98000,87800,94300,102600,105200,90100,110000,103300,106400,110900,114800
Prueba 9,600,14300,6000,1900,3000,3600,3900,4800,5500,6400,6400,7300,8900,9600,10100,12000,30700,12100,13800,14700,15700,16600,17300,18100,18200,20300,22900,23300,29800,23500,25300,27800,27100,27200,29600,32000,32100,32800,35800,36100,36700,35100,36000,37700,71900,41100,40900,58700,46200,52300,44700,52500,49700,50000,71300,50200,52000,59100,54800,62300,56800,59000,87700,70700,66200,63400,64200,70400,62800,76600,72800,69600,69900,67600,80500,81700,96400,80500,88100,95100,83900,92300,82500,88600,98000,95600,95500,98200,101600,94400,97100,106700,101300,93400,108100,105200,110100,111500,110200
